"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","H948h1","H948h2","H948h3","H960h1","H960h2","H960h3","gene_name","biotype"
"ENSG00000059804",42802.6328613435,-1.54349361812046,0.0272610702316609,-56.6189663503325,0,0,93.8229918878648,90.502418528333,90.4549769177627,273.674278526544,261.168738423191,263.42604931225,"SLC2A3","protein_coding"
"ENSG00000128567",60431.290222781,-1.41145436127149,0.0322080476442888,-43.8230338224729,0,0,56.1246866305958,56.2670773113857,54.8676465410376,153.630925292787,146.700807159459,143.082161996964,"PODXL","protein_coding"
"ENSG00000133636",4378.35585633594,1.97861411656889,0.048881830791957,40.4774961271387,0,0,70.7898377160647,66.0884107015341,66.3594781151043,16.8428864882523,17.0466866631676,17.5395018625823,"NTS","protein_coding"
"ENSG00000134853",4783.46597646502,1.56061793073729,0.0402580278622994,38.7653845358571,0,0,26.9511939469618,27.3034700572328,27.2809162909118,9.03492433228713,8.99411331157778,9.57258265386503,"PDGFRA","protein_coding"
"ENSG00000138161",1540.22952399717,2.40872320778156,0.0562279936333092,42.8385053802567,0,0,27.2044375678026,25.1616182088367,26.0304432529408,4.44754253654943,4.88738164676991,5.58814565936824,"CUZD1","protein_coding"
"ENSG00000197565",9456.53353245125,-1.45805746836611,0.0269735238264028,-54.0551348703982,0,0,18.9157315084755,18.9557896405135,18.9370145237424,53.2706086545436,51.5971911620999,50.6125515768729,"COL4A6","protein_coding"
"ENSG00000197747",5033.95028055196,-1.7828888362668,0.0380881298499114,-46.8095662163615,0,0,35.97329671125,32.9243870023179,34.2401862164512,119.779277573693,117.125462692348,117.64077816514,"S100A10","protein_coding"
"ENSG00000242265",47913.1783363292,-1.93120740391682,0.0379901302527059,-50.8344507131365,0,0,108.632602414807,107.360144831467,110.288825075938,432.382765415279,409.179083163368,399.710253416874,"PEG10","protein_coding"
"ENSG00000110148",2243.23127594081,-1.61882362404097,0.0445673164434496,-36.3231119400032,6.98565863373449e-289,1.49205906573642e-285,16.9410984133304,15.4945386060516,16.6495317076634,48.5320471113804,50.9155556599152,51.2863758625002,"CCKBR","protein_coding"
"ENSG00000113083",1408.29346102748,1.69336706951622,0.0486852907481251,34.7819031887251,4.56738783989364e-265,8.77988964462755e-262,18.2714436498363,16.8000745769681,17.9126469132773,5.42503767375708,5.41830789003643,5.52033414336542,"LOX","protein_coding"
"ENSG00000091129",834.433057662334,-2.31031234908273,0.0697744950309003,-33.1111296192052,2.05525333646847e-240,3.59164862608486e-237,0.799191018803664,0.744336230139149,0.71545120174934,3.96597834560864,3.60647192615176,3.67803153048485,"NRCAM","protein_coding"
"ENSG00000104321",680.634423560455,-2.00524277496513,0.0614199080955316,-32.6480914273953,8.52890598092312e-234,1.36625966392738e-230,1.53860859405443,1.59654040939688,1.65029972223155,6.49661396371394,6.48752210129117,6.15908664910782,"TRPA1","protein_coding"
"ENSG00000128849",7202.60359183208,-0.898315830033436,0.0275717312821139,-32.5810454498439,7.61106788231208e-233,1.12544275308989e-229,22.8817204601416,22.6666970713627,22.9609381644619,43.9168028588919,42.0238078972243,41.2465736525139,"CGNL1","protein_coding"
"ENSG00000204262",31378.5339714402,-1.07458663662502,0.0334737866686465,-32.1023327077466,4.09047182223594e-226,5.61650998848868e-223,104.50797302538,104.58955551698,103.678022380398,229.215399195914,212.366696317238,214.905145909108,"COL5A2","protein_coding"
